job_id,job_title,company,descriptions,location,category,subcategory,role,type,salary,listingDate
74630583,Procurement Executive (Contract),Coca-Cola Bottlers (Malaysia) Sdn Bhd,"Position Purpose
Manage aspects of procurement including supplier management, contract management, and vendor performance tracking. Support the administration and management of procurement processes. This includes setting up, maintaining, and administering purchasing databases; developing and issuing purchase orders; maintain contract log and providing support to other departments within the organization who are involved in procurement.
Key Duties / Responsibilities
General
Ensure the PO created following the bidding requirements
OA updates from time to time - upon request from planning team / buyers
Geographical coverage: Malaysia and Singapore operations
Ensure all purchasing activities comply with Procurement Procedure and company internal policy
Actively seek out opportunities for improvement, ways to do things better; and lead implementation of actions defined
Manage reports and reviews
Manage reports and reviews weekly, monthly and quarterly accordingly
Contract Log Update; Ensure expiring / expired contracts are renewed on time; Safekeeping of contracts softcopy
Active and Inactive Vendor Code Cleansing on quarterly basis
Supplier management:
Define and implement strategy for supplier management to ensure reliability in consistently meeting requirements, quality control and product performance per contract, continuous improvement in cost, quality and service.
Vendor Creation follows the policy and acknowledgment from respective buyers
Documentation and Audit:
Keep record of PAF, PAF approvals, Bidding documents, Contracts softcopies
Work closely with Legal in contract storage and contract log
Keep track on all report as evidence for audit.
Requirements / Qualifications
Education:
Bachelor Degree preferably in procurement and/or supply chain related field. Professional knowledge of procurement practices, supply markets, terms, negotiation concepts and business laws.
Experience:
1-2 yearsâ€™ experience relevant experience in FMCG/beverage manufacturing environment or any other related field with a strong procurement background in Malaysia.
Language
: Bahasa Melayu/ English
Work Location
: Bandar Enstek (Negeri Sembilan)
Employment
: 12 months Contract
With Regret , only shortlisted candidate will be notified.",Negeri Sembilan,"Manufacturing, Transport & Logistics","Purchasing, Procurement & Inventory",procurement-executive,Contract/Temp,,2024-03-21T05:58:35Z
74660602,Account Executive/ Assistant,Acoustic & Lighting System Sdn Bhd,"We are looking for a Account Executive/ Assistant to join our team.
What you will get when you join us:
Fair work life balance - Mon to Friday, 9am - 6pm
Insurance & medical coverage
Sport facilities
Responsibilities:
Responsible for daily accounts recording functions.
Assist in overall filing of accounts related documents and maintenance of records.
To ensure the accounts payable/receivable, bank reconciliation, journal and general ledger functions are performed in an effective and efficient manner.
Responsible for the timely submission, accuracy and maintenance of financial records.
Monitor payment and installments.
Issuing DN/CN, payment vouchers and journal voucher.
The scope of work should be revised from time to time based on management needs or requirements.
Job Requirements:
At least Diploma/ Degree in Finance/Accountancy/Banking or equivalent.
Fresh Graduate are encouraged to apply.
Prefer candidates that can speak fluent in
Mandarin
is an added advantage.",Petaling,Accounting,Bookkeeping & Small Practice Accounting,executive-assistant,Full time,"RM2,800 - RM3,200 per month",2024-03-22T06:52:57Z
74655679,"Data Analyst - Asset Management, SPX Express",Shopee Mobile Malaysia Sdn Bhd,"Performs detailed data analysis on existing spendings / consumptions of SPX and identifies cost saving areas.
Plan out and rollout cost saving initiatives to realize cost savings, from planning to execution.
Plots out automated dashboards for operations accountability towards Assets and consumptions for indefinite operations tracking.
Sets out SOPs tightening controls over asset accountability and consumables leakage prevention.
Requirements:
Diploma / Bachelorâ€™s degree in any relevant field.
Prior engagement in data analysis, cost saving, budgeting, audits, data management, process improvements, operations planning would be an added advantage.
Has an eye for detail and is comfortable working in a fast-paced environment.
Portray the ability to manage complex issues, solutions oriented and able to work in a dynamic environment across cross-functional teams.
Able to proactively provide feedback and updates to relevant stakeholders is required.
Working location:
Pulau Indah, Westport",Klang District,"Manufacturing, Transport & Logistics",Analysis & Reporting,asset-management-analyst,Full time,,2024-03-22T04:22:43Z
74657624,Service Engineer,Sun Medical Systems Sdn Bhd,"You are important for troubleshooting, installation, maintenance and service repair needs on designated equipment.
You are important for conducting preventative maintenance service as per given schedule
You are needed to keep up to date on administrative responsibilities such as maintaining customer service logs and internal service records in a timely manner.
You are needed to participate in sales opportunities such as contract renewals and assist with promoting and implementing revenue programs.
You are needed to include training of clinical staff for designated equipment.
Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post Graduate Diploma/Professional Degree in Engineering (Bioengineering/Biomedical), Engineering (Electrical/Electronic) or equivalent.
Required language(s): English (must be able to converse fluently) and Bahasa Malaysia
Must be willing to work in PUCHONG
At least 2 Year(s) of working experience in the related field is required for this position.
Required Skill(s): Non invasive cardiology equipments, patient monitoring, fetal monitors, AED,, Defibrillators, Good verbal and oral communications, Good customer service
Experienced in diagnosing and repairing Medical Equipments, electromechanical, and/or electronic equipment.
Preferably Junior Executive specialized in Engineering - Electronics/Communication or equivalent.
Communicating: Speaks clearly and fluently. Expresses opinions, information and key points of an argument clearly. Makes presentations and undertakes public speaking with skill and confidence. Responds quickly to the needs of an audience and to their reactions and feedback.
Must be willing to travel.
Full-Time position(s) available.
Fresh graduate may also apply",Petaling,Engineering,Electrical/Electronic Engineering,services-engineer,Full time,"RM3,000 - RM3,500 per month",2024-03-22T05:32:09Z
74679363,Purchasing Executive,Magnet Security & Automation Sdn. Bhd.,"MAG is a trailblazer in the industry, boasting an extensive track record of over four decades, rich in technical expertise and knowledge. Building upon the triumph of our renowned MAG AutoGate, we have ventured into a comprehensive array of security and automation solutions.
As Southeast Asia's foremost provider of security and automation solutions, our growth trajectory is soaring high. We are actively seeking an experienced Purchasing Executive like yourself to join our ranks and embark on a journey of professional advancement within our thriving organization.
Responsibilities:
To assist in PO issuance and ensure all purchases of materialsÂ are delivered on time as per the required schedule, quantity, specification & quality.
Sourcing for new suppliers to ensure competitive pricing and to overcomeÂ goods shortages,Â quality issues,Â and alternative products.
Liaise and build a good rapport with the supplier's internal team and other departments.
Inspect stock and report any faulty items or inconsistencies immediatelyÂ to the supplier and management.
To follow up on packaging requirements on each item and deliver to the right location promptly
To analyze stock movement,Â place orders according to the sales thought rateÂ and coordinate with the store to check stock levelsÂ as required
To assist in planning & handling local purchase ordering correspondence.
Ensure complete and accurate document submission to the AccountÂ Department for payment purposes.
Review purchase requisition to ensure the information provided is adequate
Produce weeklyÂ reports for all Purchasing-related matters.
Ensure all invoice/delivery notes are recorded and monitored
Perform general administrative duties.
Any other duties that may be required from time to time for the smooth running of the operation.
Requirement:
Candidate must possess at least SPM, STPM, Diploma/Advanced/ Diploma/ Bachelor's degree in Business Administration, Finance Management, or any relevant field.
Minimum 1 year of relevant working experience in a related industry.
Proficiency in Mandarin as you will be liaising with China suppliers.
Possesses strong communication, negotiation, and interpersonal skills, team player, and problem solver, and is capable of executing sourcing activities.
Ability to multitask, be detail-oriented, and work under strict deadlines.
Fresh graduates are encouraged to apply.",Hulu Langat,"Manufacturing, Transport & Logistics","Purchasing, Procurement & Inventory",purchasing-executive,Full time,"RM2,800 - RM3,500 per month",2024-03-23T03:56:39Z
74661023,Accounts Executive,HPMT Industries Sdn Bhd,"Job Responsibilities
Manage accounts payable & receivable, month-end closing and other related duties
Manage cash flow and bank reconciliation
Prepare monthly financial reports
Prepare submission of statutory reports
Ensure timely filing of year end audit and all tax returns including coordinating the preparation of tax computations, tax estimation, tax returns
Perform and ensure timely updating of accounting records and closing of monthly financial statement and reporting
Liaise with internal and external auditors, statutory bodies, tax agents, company secretary and banks
Assist in ad-hoc task or reporting as required by superior
Requirements
At least 2-4 years of working experience in the related field is required for this position.
Bachelor's Degree in Finance/Accounting and/or Professional Qualifications (ACCA/CIMA/CPA).
Ability to multi-task, attention to details and work under pressure Good analytical skill
Candidates with experience working in a manufacturing environment will have an added advantage
Able to articulate clearly in both written and spoken English
Advance Excel knowledge
Good working attitude, able to work independently and as a team player",Shah Alam/Subang,Accounting,Financial Accounting & Reporting,accounts-executive,Full time,,2024-03-22T07:12:37Z
74677110,Accounts Executive,GENETEC TECHNOLOGY BERHAD,"To assist in overall acounting functions for the whole group.
Duties & Responsibilities:
To handle preparation of finance & management reports, costing reports, fixed assets register, bank/ accounts payable/ receivable/ inventory reconciliations, stock & inventory recording.
To ensure accurate timely closure of accounts & submission of financial information.to meet the reporting requirements.
To monitor banking facilities.
To work closely on daily finance operation activities.
And any other job as assigned by the Management from time to time.
Experience in handling reporting in a listed company / manufacturing industry will be an added advantage",Kajang/Bangi/Serdang,Accounting,Financial Accounting & Reporting,accounts-executive,Full time,"RM3,000 - RM4,500 per month",2024-03-23T00:22:28Z
74657915,PURCHASING EXECUTIVE,MINSEC ENGINEERING SDN. BHD.,"PURCHASING EXECUTIVE
Bachelorâ€™s Degree in Business Administration, Supply Chain Management, or related field.
2-3 years related working experience.
Liase with requestors to understand requirements and project needs.
Source and request for quotation from local and overseas vendors.
Price negotiation with vendors to provide the best possible terms for the company.
Preparing and issuing Purchase Orders.
Monitoring of goods delivery.
Manage vendors on quality issues and co-ordinate changes in material specifications.
Innovate and collaborate with stakeholders for continuous procurement process improvements.
Strong sourcing and negotiation skills.
Ability to multitask, prioritize and mange time efficiently.
Self-motivated, result driven, independent and good in problem solving.
Detail oriented and good interpersonal & communication skills",Petaling,Engineering,Project Engineering,purchasing-executive,Full time,,2024-03-22T05:44:08Z
74662794,Accounts Assistant (AP),KLK OLEO,"ROLE AND RESPONSIBILITIES
To verify invoices in the Readsoft system and check and post invoices into the SAP system promptly and accurately.
To send workflow to clarify with the purchaser, requestor and good received person if there is any discrepancies arise.
To prepare supplier payments according to the due date.
To do clearing for advance payment.
To ensure no long outstanding payments.
Participate in routine stock take as and when required.
To perform any other duties assigned by the superior from time to time.
JOB SUCCESS REQUIREMENTS
At least 1 year of working experience with minimum LCCI Diploma/with part ACCA/CIMA professional qualification or accounting graduates or equivalent.
Basic accounting principles - the ability to maintain the general ledger and coding.
Computing skills - ability to operate SAP ECC6, and spreadsheets and competency in Microsoft Word would be an added advantage.
Prior working experience in the manufacturing environment would be an advantage.
Strong communication skills and possess a good command of English and Bahasa Malaysia.
Trustworthy - Ability to maintain confidentiality.
Mature, hardworking and committed to meeting deadlines.",Selangor,Accounting,Accounts Payable,accounts-assistant,Full time,,2024-03-22T08:30:54Z
74602737,Admin Assistant,Lein Hing Holdings Sdn Bhd,"RESPONSIBILITIES:
Manager paperwork for Claim submission
Assisting with a variety of administrative tasks like filing and general clerical task assigned
Handle day-to-day matters and providing efficient support for administration processes
Any other duties / jobs assigned by superior or management
REQUIREMENT:
SPM or Diploma in Business Administration, Accounts or Logistics
1-2 years working experience in Admin clerk or Admin Assistant
Added Advantage (able to communicate in Bahasa Cina)
Computer knowledge: MS Excel, Words and Outlook
Good communication skill and able to work with the team",Kuala Lumpur,Administration & Office Support,Administrative Assistants,administration-officer,Full time,"RM2,000 - RM3,000 per month",2024-03-20T09:14:23Z
